review,stars
" 일단 물건 받고 보니
2+1 행사해서 손해본 기분ㅜㅜ
그래도 후기에서 본것처럼 맛있고 단백질 특유의 맛도 없다그래서 엄청 기대했는데..
제입엔 단백질맛 나요. 첫 모금부터 끝까지
다른거에 비해 미미하긴 한데 그렇더라구요. 하지만 제일 마음에 안드는건
같이 오는 쉐이크통
분명 꼭 잠그고 흔들었는데
사방으로 다 튐 ㅂㄷ
출근준비 끝내고 흔들었는데 옷이며
보니 뚜껑이 제대로 결합이 안되는 불량이네요. 너무 짜증이 나서 걍 쓰레기통 처박음",1
 1차 구매하고 맛있어서 나중에 재구매해야지 생각하고있던차에 라방보고 2+1이라고 해서 구매했는데 알고보니 +1이라는 증정용량은 본품의 절반밖에 안되는 작은걸 주네요 용량이 다른 제품이면 2+1이라고 하면 안되는거 아닌가요? 2+0.5라고 표기를 하시든지요. 동일한 제품일때 쓰는 말인데 이렇게 상술로 내용을 잘 읽어보지 않고서는 속아넘어가게 표현한게 기분이 나쁩니다. 제품은 맛있고 재구매의사 있지만 후킹문구 이렇게 사용하지 않았으면 합니다. 모든 소비자들이 꼼꼼하게 모든 세부정보를 읽고 구매하지 않으니까요,1
 음....사실 후기에 별점1개 준건 손에 꼽는데요..후회될정도입니다. 왜 내가 이친구를샀을까 일주일동안 후회했어요..뚜껑을 열자마자 저희집강아지 쉬야냄새가 났어요... 찌린내같은 그런 냄새.......맛도...너무...없었어요... 이렇게까지 맛이 없을수있나 역시 새로운제품은 후기가 많아졌을때 사야한다는 것을 다시한번 배웠습니다. 딸기랑 복숭아요거트가 이렇게 맛없을수가있는지 첫인상이 두제품 다 실패여서 앞으로 여기서 구매할 일은 없을것같네요........,1
" 일단 말차맛 구입했구요 맛있었어요 먹기도 편리하고 배도 꽤 부르네요 밥 안먹고 쉐이크랑 우유랑 먹었는데 든든한 느낌 좋아요. 가격대비 양도 많아서 좋구요.
근데 보틀 많이 기대했는데 보틀 까자마자 녹차향+알수없는향(?)이 나는거에요 그래서 엥? 왜 새 제품 보틀에서 녹차향이나지? 왜그러지?싶었어요 까보니까 보틀에 녹차 덩어리랑 이물질들이 묻었네요 새상품이면 포장지도 뜯기전인데 녹차 향이 난다는게 살짝 의아했어요 아쉽네요 보틀 사용못하고 그냥 컵에 담아 마셨어요.. 쉐이크 본통포장지 겉에도 이물질이 좀 묻었었는데 아쉽네요 그래도 맛있어요...",1
" 이거 먹고 다이어트 생각하시는 분들 있다면 일단 다이어트용으로는 절때 맞지 않습니다
성분을 좀더 정확하세 보고 샀어야 했는데 ㅜ 구매후에 성분 보고 놀랐네요
이거먹고 밥도 드신다면 살은 더 찝니다 확실히
쉽게말하면 그냥 식사대용이 맞는 제품입니다 제품은 확실히 당이 많아서 단백질에대한 거부감이 없고요 마시면 진짜 달달하고 그냥 딸기우유 초코우유네요
밥안먹고 운동 하루종일하고 이것만 먹으면 살은 빠져요ㅠ
저는 다이어트 목적으로 단백질 쉐이크를 먹기때문에 다음에 재구매는 절때 않할꺼같네요 ㅜ
.",1
" 솔직후기 이거 성분만 보면 완전 별로고요 포만감도 없어요 근데 맛은 있어요 맛있는 이유가 있겠죠? 당분 너무 높아요.. 두 스푼 넣으라는데 한 스푼만 넣어서 먹어도 달아요 체중조절용이라고 하는데 다이어트할 거면 이렇게 당분 높은 거 먹으면 안 돼요 게다가 이렇게 단거 먹으면 입도 터집니다 식욕 당겨서 다이어트고 뭐고 다 망해요 다이어트하실 분들은 다른 거 드세요 이거 추천 안 해요 건강, 다이어트 그런 거 신경 안 쓴다 맛있는 거 먹고 싶다 그러면 추천합니다 저는 가끔 단거 먹고 싶을 때 먹어볼까 하고 사봤어요",1
" 처음엔 카카오 초코렛 이겠거니 싶었어요
근데 또 이런게 씹히길래 물에담가두고 녹겠지 카카오 칩스이겠지 안녹아요 대체 이 프라스틱 같은건 뭘까요? 다른 쉐이크들은 맛나게 먹고있었고 재주문도
해서 이번엔 초코맛 진짜 기분 이상하네요 그냥 카카오
였길 바랬는데 이게 대체 뭔지 설명좀 해주실분
그냥 다신 주문 안하는게 맞겠죠 ?

먹거리 입니다 진심으로",1
" 저는 곡물,초코맛 먹다가 여러가지 맛 돌려 먹으려고 딸기와 민트를 추가 구매했습니다~
오늫은 민트를 먹고 바로 리뷰를 남깁니다ㅎㅎ
결론은 저는 민트맛이 너무 맛이 없어요:;이상해요..ㅎ
일단 가루 향에서 부터 뭐지 이건 무슨 냄새인가 했어요. 한 입 마시니 입 안에 남는 끝 맛과 냄새가 무무 안 좋아요
마실 땐 민트가 강하게 느껴지는데 이게 향이 강해서 나는간지 민트 맛 때문에 그러는지 마셔봐도 모르겠고 마시고 나면 끝 맛과 향이..
전체적으로 민트맛이 아닌 뭔가 민트 향에 주력함 느낌이었습니다.. 저는 다 마시고 입가심 하려고 비스켓 하나 먹었습니다ㅠ
솔직히 민트 손이 안 갈거 같은데.. 돈도 아깝고 억지로라도 마셔야 하나 싶습니다ㅠㅠ",1
" 기대 이하입니다.
일단 통 디자인 하신분이 손이 정말 작으신가 봐요
좁고 깊은 디자인때문에 숟가락은 들어가다 말고 손도 억지 넣었다 뺏다 이게 더 힘드네요.

제형이 너무 잘 뭉침 . 이런 제형은 처음이라 참.

시간없어서 빨리 먹고 움직여야하는데 건더기가 은근히 걸림.
컨셉을 잘 못 잡으신듯.

다시는 구매 안할 제품.

맛만 챙기신거 같네요.",1
" 츄파츕스 밀크딸기맛이라서 맛은 괜찮은데 너무 너무 달아서 못 먹겠어요. 스벅 프라푸치노보다 더 단 듯,,, 리뷰 많아서 제대로 확인 안해보고 대충 샀는데 당이 10g이나 ㄷㄷ 단백질은 8g,,, 다이어트용으로는 아닌 갓 같아요.
같이 온 쉐이크보틀이 예쁘고 마음에 들어요.",1
 최악이네!!! 진짜로 먹던거 보냇는냐 그런평이많길래 설마설마해서 하나하나 보니 가루가 흘러나와잇어요!!!이거 이따구로 만들어서 파나??? 어이없다 정말!!!가루 보이시나요!?? 저거 머임?!!! 황당하네먹을걸로 장난하나 지금 이거 믿고 먹어도 안전한거 맞나요?!!!! 찝찝하거 불쾌하고 병을 물티슈로 딱고딱고장난하나지금!!!! 이거 뚜껑열린거 반품받아서 재포장해서 파나본데!!! 판매자님 전화주세요!!! 당장!!!내가 이서 얼마나 어이가 없으면 어찌 가루가 묻어잇지!!! 당장전화하세요!!!!,1
 맛보기 전에 후기 남겼었는데~ 맛보고나서 진심후기 씁니다. 맛있다는 거 하나믿고 산 1인입니다. 제 입맛엔 영...ㅠ 후기사진 중앙에 있는 푸드쉐이크가 진짜 맛있어서 이 정도 맛이길 기대했거든요. 휴... 괜히 3통이나 사서 ㅠㅠ 그나마 초코는 먹을만한데 딸기는 넘 맛이 없고.. 제 입맛엔 정말 별로네요. 푸드쉐이크가 비싼 이유를 알겠다능~,1
" 글 보면은 다들 맛있다니,
비린내 안나니 그런 글에 혹해서 구매했는데
음., 입 맛에 맞는 분들도 있겠지만,
제 입맛엔 ....,
비려요, 맛없어요, 목 넘김 그닥.....
그냥 저한텐 안맞나봐요.
참고 먹으려했는데 역시 안되요 ㅠ
저한텐 안맞는 제품인 걸로 ..",1
 맛이 정말 딸기약.....먹는 그런맛이었어요.. 동결건조딸기가 들어있고 리뷰는 다들 딸기우유맛난다고 맛있다해서 샀는데 정말........저한테는 아니었네요ㅜ 그냥 진짜 딸기우유를 사먹겠어요..패키지도 너무 예쁘거 동결건조딸기도 너무 좋은데 쉐이크맛이진짜...너무...인공적인맛그자체..ㅠㅠ,1
" 제품이 괜찮아서 다른 쉐이크보다 좀 비싸도 다섯통째 구매했는데 배송관련 대응 완전실망
월요일 구매한걸 금요일날 받음
하도 안와서 판매자한테 제품현위치 파악해 달랬는데 제품발송했으니 이번주 내로 받을꺼라는 답변이 끝이었음. 내가 미친듯이 대한통운 전화걸어서 배송누락 찾아서 겨우 오늘받음.",1
" 속았네요,,광고 보니까 엄청 맛있고 진하다고 하던데 하나도 안진하고 의식하지 않으면 말차맛도 안나요 그냥 쉐이크 맛이에요 근데 엄청 느끼해서 한번 먹었는데도 질려요 서랍장에 박아두고 안 꺼낼 듯 맛없어요 별로에요",1
 전용 보틀을 증정으로 주실꺼면 제대로된 상품을 주셔야지 뚜껑도 안닫혀서 먹을때마다 난리네요 어떻게 먹으라는건지;; 맛은있지만 먹기 편해야되지않을까요 원래 뚜껑이 이렇게 부실한건가요,1
